,NYC_All,NYC_Q1,NYC_Q2,NYC_Q3,NYC_Q4,NYC_Q5,NYC_All_MoM,NYC_Q1_MoM,NYC_Q2_MoM,NYC_Q3_MoM,NYC_Q4_MoM,NYC_Q5_MoM,NYC_All_YoY,NYC_Q1_YoY,NYC_Q2_YoY,NYC_Q3_YoY,NYC_Q4_YoY,NYC_Q5_YoY
2010-09,523852.6266169629,212938.1279564878,363569.5783060864,478761.5616339789,677942.5036909049,1534638.4826952626,0.0012930246254603261,-0.003817713527511035,-0.006432973232351813,-0.0014314594077706744,0.010081990911322558,-0.00034720422577105836,-0.015238208599477221,-0.027051386344191797,-0.03589112644454251,-0.002408580135903615,0.01335536924153602,0.018196315492621018
2010-10,522538.8896811656,213279.5559297896,361911.2824883875,477233.3648615705,672364.6694413235,1523480.9410839607,-0.002507836878248404,0.0016034139896805577,-0.004561151198142377,-0.0031919788363811152,-0.008227591896383779,-0.007270469062984897,-0.017974551396080174,-0.027591605619819326,-0.039661898491508696,-0.006496741201915346,-0.0026481882258070355,0.042146611108224485
2010-11,520180.656998162,210007.7823971267,360250.9496725102,472823.994424469,672838.5345210144,1542518.8362153377,-0.004513028081876369,-0.015340305442777535,-0.004587679070023332,-0.00923944292616774,0.0007047739139605103,0.012496313290162764,-0.017494227214455926,-0.025681825069056807,-0.021337639184083712,-0.013138249045951844,-0.0006152293264477526,0.051317655042580235
2010-12,515850.7115908371,205133.296259281,356486.8645828618,470542.9545985091,668339.4894860664,1543330.7556856582,-0.008323926215003774,-0.02321097857520349,-0.010448508444100502,-0.0048242894879656495,-0.0066866637448921296,0.0005263595174711533,-0.024151746940054286,-0.049838036940420216,-0.03177507387608547,-0.020982904666176028,0.0004250555326439365,0.03461058319509536
2011-01,516821.5235788661,204006.0179480836,359534.0411266833,465381.4997719426,674741.3439554861,1532016.1328884424,0.0018819630684139277,-0.005495345376659633,0.008547794733999803,-0.010969146973989874,0.009578746385826342,-0.007331301314078331,-0.021750700520568045,-0.05081379599946234,-0.03798313299327938,-0.01958631379136455,0.0053869864513331756,0.02430596375437144
2011-02,516851.1688723538,200305.4619392601,359735.8701388114,467542.9292098313,669877.198163585,1539220.1144808012,5.736079504270464e-05,-0.01813944532638856,0.0005613627335414595,0.004644424926534274,-0.007208904323820375,0.004702288336074112,-0.019887450801252204,-0.058617929351658105,-0.03933658191265166,-0.024506900712975344,0.00503434874707076,0.019529313275727045
2011-03,517621.1826935733,204168.8496950559,356349.2304174761,467922.5260049931,669233.0951506128,1547300.245988173,0.0014898173160746708,0.019287480822501424,-0.009414239731024066,0.0008118972001209812,-0.0009615240147567983,0.00524949708709932,-0.012076159024158484,-0.020652779870181548,-0.04180026559711658,-0.0201595542759484,0.004929581284673912,0.01887989302659232
2011-04,515972.5380776344,204621.5150239622,356843.8603985565,469067.5449496616,666240.8422397156,1550285.594116486,-0.003185040858180721,0.0022171125986281126,0.0013880484054951125,0.002447026764119231,-0.004471166970939633,0.0019293916200513461,-0.015672583006896557,-0.03205738173526029,-0.029379897930223553,-0.02367595975954273,-0.007808918668263498,0.024449303764009223
2011-05,516913.600237564,206594.6073100543,353146.6836479949,465751.8983550479,676446.9915617468,1561754.731775422,0.0018238609431342478,0.00964264332546394,-0.010360768842799462,-0.0070685909317590445,0.01531900879525927,0.007398080523010053,-0.01837777921794015,-0.030384205535883946,-0.043320333393278454,-0.027628323476572847,0.006866383673741261,0.04014989297059102
2011-06,518410.4270500598,203317.5532710204,356502.4181105921,468686.9189925164,678463.7623488173,1566365.9259528997,0.0028957001940128624,-0.01586224384896806,0.009502381355907419,0.006301682607917414,0.002981417335324865,0.0029525725670351832,-0.02179481335147171,-0.05116556963948338,-0.031663005213510065,-0.023151500302076577,0.008406188814329196,0.035427207090406476
2011-07,518196.0864801636,203471.6726625391,357670.986371091,472491.6951991115,678048.1760535829,1569132.6424593863,-0.0004134572892675603,0.0007580230483752448,0.0032778691002772753,0.008117948362573735,-0.000612540150701113,0.0017663283276565522,-0.009150820759838085,-0.03756753834350768,-0.017481316067860853,-0.016217295321863667,0.0120885589588966,0.03338856145212965
2011-08,517855.8130326428,201250.2768777462,355660.2317784487,474774.5609230685,680491.3819288927,1573178.6177395398,-0.0006566499755567001,-0.010917469521554035,-0.005621799556747131,0.004831546770351247,0.0036032924526541166,0.0025784788173242035,-0.010169297613403683,-0.058496649250802224,-0.028047724251272443,-0.009747276299264862,0.013879622703400152,0.02475757072999829
2011-09,515856.476478434,201124.8875036944,355872.8232399925,476144.2803574428,678719.5202600728,1579395.9990531004,-0.003860797743102329,-0.000623051933130836,0.0005977375105470362,0.002884989102430513,-0.0026037973674221115,0.0039521140469696014,-0.015264121495711436,-0.0554773377889719,-0.02116996450020381,-0.0054667740400953235,0.0011461393332583558,0.029164859908394014
2011-10,510861.0260401662,195519.2847325511,350441.8634652754,469997.9395997166,671738.8954945407,1576989.0977143059,-0.009683799013961991,-0.02787125373054744,-0.015260956780210777,-0.01290856786752137,-0.010284991896000295,-0.0015239378472767795,-0.02234831487494604,-0.08327226264051801,-0.031691244727857115,-0.015161189042079193,-0.000930706170660045,0.03512230129526528
2011-11,509470.8105732196,193445.9935078492,348358.2555175523,469029.8801238699,673897.50982955,1573014.8269951066,-0.0027213183157120957,-0.010604024188907712,-0.005945659365920841,-0.0020597100418592307,0.003213472302240561,-0.002520163725265756,-0.020588705636896076,-0.07886273880059835,-0.03301224928280988,-0.008024369205749338,0.0015738921809664852,0.019770255029489814
2011-12,510468.938561159,194350.7575835625,347885.6972594024,471208.9226584915,683321.8553102352,1589305.217486326,0.0019591465638950645,0.0046770887280049855,-0.001356529522883898,0.004645850140818419,0.013984834998231221,0.010356158258430614,-0.010432811099709838,-0.05256357145497126,-0.02412758555220229,0.0014153183114824497,0.02241729848357421,0.029789117874633675
2012-01,512834.6522844177,197734.3094577516,347162.1091275972,473259.1691294818,688219.7539402243,1590780.8876153992,0.00463439309339142,0.01740951214318942,-0.0020799594162840274,0.004351034907028373,0.007167776929607239,0.0009285001476351251,-0.007714212958547573,-0.030742762166594773,-0.034411016993872945,0.01692733673641844,0.0199756693516433,0.03835779106070025
2012-02,512015.942968011,198040.1344069197,349906.9894254679,467907.241032986,680532.4619899289,1572929.3672331222,-0.001596439150045259,0.0015466458502157998,0.007906624097798298,-0.011308662241748313,-0.01116982171215497,-0.011221859981632387,-0.00935516101258338,-0.011309364759246154,-0.0273224927765775,0.0007792050748589574,0.015906294251475384,0.021900215852942884
2012-03,513621.0747223531,198651.2391344222,346095.6901034872,473335.9428816405,679421.7376762275,1579168.8791639437,0.003134925340483763,0.0030857620316842027,-0.010892321208669342,0.01160208984299893,-0.0016321400899136362,0.003966809992108633,-0.0077278676085175135,-0.02702474235846808,-0.02877385283525513,0.01156904524957536,0.015224355459171779,0.020596282627369566
2012-04,512247.8820606397,195139.5178073525,349751.9837439194,468673.2720364972,686457.6574776979,1575586.4868015645,-0.0026735520197563867,-0.017677822410628985,0.010564400958991804,-0.009850658745155227,0.010355747264629622,-0.0022685302437545074,-0.007218709799695411,-0.04633919954848975,-0.019873892874929244,-0.0008405461375646794,0.030344605068069797,0.01632014951380456
2012-05,513159.5423178209,197066.9339510046,347104.0410226554,473607.5755560132,683374.2684240122,1588567.17104974,0.0017797247955693152,0.00987711851145856,-0.0075709155182456245,0.010528237503443005,-0.0044917396143779875,0.008238636442310598,-0.007262447569608921,-0.04611772535161429,-0.01711085762697584,0.016866656322196638,0.010240679533916053,0.017168149856563675
2012-06,513584.09837979,194934.255283997,351436.4969431738,474326.5876874593,691367.6698077838,1597691.7648716064,0.0008273373618885582,-0.010822103050214693,0.012481721352923358,0.0015181601151585955,0.0116969598551111,0.005743914382818849,-0.00930986033157799,-0.041232534290084444,-0.014210061166672894,0.01203291251880012,0.01901930239323857,0.01999905539291502
2012-07,511958.0729628181,190178.3119091751,354245.8518246457,477187.5508743244,699454.0340137027,1604978.7177150166,-0.003166035362273889,-0.02439767893997402,0.007993918975143233,0.0060316314984860675,0.011696185053268415,0.004560925332175003,-0.012037940231693245,-0.06533273442643406,-0.009576215787577502,0.00993849357126586,0.0315698186590625,0.022844515680616295
2012-08,512214.5607309178,189538.3509057357,352541.6058615642,482510.964079746,696679.0681070966,1630194.379651097,0.0005009936978146445,-0.0033650577556132433,-0.004810912969914205,0.011155809064314015,-0.0039673313351019646,0.015710901121467558,-0.01089348069434426,-0.05819582538574675,-0.008768553912508081,0.01629489823893726,0.023788230987318304,0.03624239566228127
2012-09,513670.9660362053,189338.7578926412,351758.5105560808,481160.080184857,704663.2507780521,1628953.647655418,0.0028433500664433176,-0.0010530481675117276,-0.002221284785861366,-0.0027996957488114482,0.011460345281578244,-0.0007610945118978751,-0.004236663765759818,-0.05860105011040306,-0.011561188197664385,0.010534201573625612,0.03822452389175157,0.0313775953795179
2012-10,514271.0686245214,191505.1059059947,350061.5324836988,477931.8280904018,700922.7202362395,1639710.4187833806,0.001168262619448468,0.011441651130836394,-0.004824270121280949,-0.006709309910362782,-0.00530825261241108,0.0066034850920682064,0.006675088547637653,-0.020530858795066553,-0.0010852898047503112,0.016880687812040662,0.04344519118580048,0.039772831124820884
2012-11,512065.7168395256,188659.0538204424,347289.7702665231,479538.8647134994,703247.963256186,1633591.608042076,-0.0042883061473674156,-0.014861494538685238,-0.007917928592467538,0.003362480857403094,0.0033174028360256624,-0.0037316410697960656,0.005093336482587585,-0.024745612977570164,-0.003067202324347873,0.02240578912979707,0.04355328963013916,0.0385099873233159
2012-12,516278.5327698806,187457.3411526714,357106.0239480112,483538.9262930144,713848.3082912823,1652964.5682363214,0.008227100139326815,-0.00636975879734214,0.028265311915046443,0.008341475266879117,0.015073410217947059,0.011859120785680854,0.011380896602831259,-0.03546894551171076,0.026503897001932897,0.02616674481662784,0.044673608408423826,0.040054830280290776
2013-01,513161.5419752187,184557.0272954504,351617.028958498,481776.8575128181,714684.9942178524,1646520.3728183392,-0.006037420881978117,-0.015471860634462486,-0.015370771203547018,-0.0036441094695414122,0.001172078040743374,-0.003898568391491941,0.000637417322220335,-0.06664135424164563,0.012832390729782706,0.01799793630835267,0.03845463622063772,0.0350390714628801
2013-02,510854.2169931283,187278.6643237243,346657.1466534897,478857.1090918604,713792.0937345731,1646220.1740935887,-0.004496293648992511,0.014746862084622503,-0.014105921774322572,-0.006060374996073814,-0.001249362293182621,-0.00018232311589105876,-0.002268925393511201,-0.054339844372572665,-0.009287733226804984,0.023401792275538735,0.04887295405040715,0.04659510362463992
2013-03,512971.2883895901,184274.0528809797,345918.9575516216,483129.8729200311,727069.6277628195,1663092.5637064145,0.004144179153346084,-0.01604353306125106,-0.0021294501180613157,0.008922836785850041,0.0186014024879122,0.010249169508638634,-0.001265108393603609,-0.0723740074116217,-0.0005106464972527425,0.0206912874157954,0.07013006420659784,0.053144211268209895
2013-04,521091.2195806378,192125.1827208656,347613.8424806483,491909.3858393766,735757.3771973859,1680468.2878864584,0.015829211838618074,0.04260572618412439,0.0048996589866683316,0.018172159105547037,0.011948992369958278,0.010447839500478562,0.01726378542439977,-0.015447076637048696,-0.006113307036555882,0.04957849143372939,0.07181756832727815,0.0665668320739432
2013-05,525829.7720575437,195571.3783839023,350905.9201904919,494044.886091623,736452.477721898,1695995.6257961276,0.009093518176566784,0.01793724078349279,0.009470502343492893,0.00434124721690865,0.000944741495028989,0.0092398874894557,0.02469062483471407,-0.007589074113641625,0.010953140034426712,0.04315241476367104,0.07767077537217482,0.06762600707365607
2013-06,527893.6609367545,192737.3680606419,354523.8418478771,497474.3164814187,741167.7957118286,1727532.3068311184,0.003925013357716445,-0.014490925751401651,0.010310232598587099,0.006941536055409481,0.0064027457746040906,0.018594789134663614,0.027862160456499918,-0.011269887994567629,0.008784929657440932,0.04880124664066221,0.07203132006142332,0.08126757915031635
2013-07,534198.6773326105,193430.2415058182,355678.8033274307,509592.3576307174,755739.1930484832,1764488.6055474912,0.01194372439454483,0.003594909758020126,0.0032577822510713172,0.02435912920089689,0.019660051908569454,0.02139253695588672,0.04344223784006562,0.01709937144776097,0.0040450763090214,0.06790790475782416,0.08047013284317961,0.09938442552033733
2013-08,536279.5037700264,192602.592849945,361054.0764821983,511771.5902080414,760867.7046808478,1767026.6570163907,0.0038952294824203815,-0.0042787965802560946,0.01511271716076723,0.004276423193346313,0.006786086628215449,0.0014384062673569176,0.04698215334755118,0.016166870343476303,0.024146002852147852,0.060642406715258446,0.09213515880153289,0.08393617293330324
2013-09,539708.5312028391,194266.3145942214,362844.3946334928,518996.9743080983,766620.8344866001,1777074.091797483,0.006394104955917079,0.008638106682045343,0.004958587280713855,0.01411837671004701,0.00756127480554003,0.005686068595058602,0.05068918994498639,0.02602508200869358,0.03151561012663717,0.07863681066123518,0.08792509562565898,0.0909298090558055
2013-10,542112.0755937689,194842.9502353858,365029.3681963727,523125.3389766746,770678.9687004592,1777697.5921043681,0.004453411891735426,0.0029682739509877543,0.0060217922481258235,0.007954506235956504,0.005293534993184412,0.00035085780033772274,0.05413683302020389,0.017429531779844964,0.04275772778138909,0.09456058004516144,0.09952059827752335,0.08415337960916913
2013-11,540160.1394003844,194769.5925834876,365300.979647755,524159.9399394572,772583.3102003172,1798642.3122182228,-0.0036006137499271507,-0.0003764963105392649,0.0007440810933221353,0.0019777305469592665,0.0024709919138823366,0.011781936481705557,0.05486487698152853,0.03238932157934449,0.05186219383142032,0.09304996635177165,0.09859302915445922,0.10103547506219535
2013-12,538677.6978447298,191962.3611209458,364680.3511506772,526016.4544827973,772281.0207917087,1811924.3604064684,-0.002744448261769672,-0.014413088949387642,-0.001698951088705658,0.0035418855999458376,-0.00039127095371771503,0.007384485563372012,0.04338581531692909,0.024032240831824092,0.021210303648556472,0.08784717399161868,0.08185592348085136,0.09616648488706181
2014-01,548072.4944486422,196698.3528006168,372824.6315761547,532781.7417078109,781588.9083913426,1827852.4448324617,0.017440478121707015,0.02467145982168395,0.022332654884695158,0.012861360452432136,0.012052461926478353,0.008790700524838657,0.06803111616479907,0.06578630834647003,0.06031449239098108,0.10586827366160012,0.09361315084936073,0.110130475764316
2014-02,548631.1151237113,195013.27879416,369978.1376756242,537478.0926642086,786174.9461649588,1863444.4827250931,0.0010192459587503588,-0.00856679266737359,-0.007634940557700309,0.00881477458544988,0.005867582976650798,0.0194720520210776,0.07394849034023165,0.041300030082796146,0.06727393693529038,0.12241853041196626,0.10140607197213014,0.1319533754050295
2014-03,548594.3426910648,192919.666293057,369705.7878562189,537968.6797238202,788056.4890991852,1874065.2945234012,-6.702578769746115e-05,-0.010735743299372102,-0.0007361240886186726,0.0009127573129164013,0.002393287834221658,0.005699559013840894,0.0694445383352913,0.04691715017339626,0.06876417087099829,0.11350738150871109,0.08388035891971057,0.12685567563768485
2014-04,552330.4448835789,195190.127285712,373119.2877285918,542084.2852394616,790249.1703887236,1885484.0808145935,0.00681031848448721,0.01176894526245964,0.009233017130098053,0.007650269747588645,0.0027823910086000048,0.006093056802535912,0.05994962902672141,0.015952851788822553,0.07337292745861634,0.10200028876145217,0.07406217712543417,0.12199920367791384
2014-05,559439.6104619511,195972.7057030721,377100.3793083663,544339.589925142,797361.3107507348,1882505.4325601673,0.012871218025779285,0.004009313525445979,0.010669755519769009,0.0041604317761843035,0.008999870709782254,-0.0015797790523583988,0.06391771670305757,0.00205207593506862,0.07464809685642959,0.10180189138561713,0.08270572083245464,0.1099706885602898
2014-06,562487.0228568203,196635.0139124084,377076.6168968265,541875.2493278095,811146.3634664546,1907882.8693098382,0.005447258896009943,0.0033795941478698133,-6.301349148307711e-05,-0.004527211768064365,0.017288339087760507,0.01348067118996732,0.06553092882130707,0.020222574848797192,0.06361426901896938,0.08925271390980294,0.09441663299390579,0.10439779433679242
2014-07,569432.3855621277,200021.057186698,381280.9894945214,541873.2687610651,825080.2623697296,1937977.185929634,0.01234759634103666,0.01721994067545829,0.011149915983375003,-3.655023452231454e-06,0.017178032881425054,0.01577367096476001,0.06595618769677247,0.0340733466989005,0.07198119743875164,0.06334653698582438,0.09175264424429264,0.09832230133801967
2014-08,569732.0937323532,198871.2636436637,385478.0055177442,554279.2752438657,822089.8448921266,1954679.286110048,0.0005263279325598003,-0.005748362493460335,0.011007671871569036,0.022894664117987462,-0.0036243958484888372,0.00861831620190201,0.06237902013251717,0.03254717758967329,0.06764617996703359,0.08305987641585255,0.08046358103339246,0.10619682976968048
2014-09,568620.9840425312,197072.6057928418,381295.3151913137,553590.6579052507,823696.5526733625,1949146.9934519983,-0.001950231875727737,-0.009044332589170478,-0.010850658835418359,-0.001242365300979431,0.001954418718609352,-0.00283028151848852,0.05357049438380268,0.014445588286791322,0.050850780198652634,0.06665488492157579,0.07445103970463518,0.09682933449357001
2014-10,572183.83725746,198461.4561779195,383509.7012124426,554693.5635469289,827394.5891546769,1950628.183107933,0.006265778637993824,0.007047404582134709,0.005807535348337112,0.001992276469858778,0.004489561683015619,0.000759916856404752,0.05547148462013851,0.018571397826620206,0.050626975871508995,0.06034543199915987,0.07359175838138299,0.09727784510235882
2014-11,571097.7739680589,197974.0176307113,384159.8478688899,557758.7504176174,831847.6047601599,1957307.1690393314,-0.0018981020061782372,-0.0024560867212986004,0.0016952547859725442,0.0055259102901581425,0.005381973321861411,0.0034240179595665943,0.05727493073075962,0.016452388715913813,0.0516255615829988,0.0641003020605524,0.07670926070675343,0.08821367969790006
2014-12,572941.3973087872,198650.5566911166,386746.8828049754,564034.4580294597,827300.0265569153,1949114.3377527068,0.003228209642490043,0.003417312375138426,0.0067342668694736485,0.011251652452145988,-0.00546684053331592,-0.004185766759667864,0.06360705037752235,0.034841182047958386,0.060509242092894766,0.07227531234558704,0.0712422088384399,0.07571506865521838
2015-01,577695.4126872886,200274.5873341482,391341.9832415527,571184.6599106638,841109.8385004567,1961119.9475183557,0.008297559577352676,0.008175313827873287,0.011881415574057863,0.012676888405336983,0.016692628430118095,0.006159520523301376,0.05404927001207538,0.018181314091412215,0.04966772604887737,0.07208001925845631,0.07615375483208853,0.07290933306058478
2015-02,584543.7080528865,207623.9500705723,394800.6057103746,569639.1565644237,844455.3570759076,1950740.2868333536,0.011854508821078413,0.03669643180520965,0.00883785184552277,-0.0027057858074862606,0.003977504984860714,-0.005292720977182808,0.06545854206806578,0.0646657056093245,0.06709171571784411,0.05983697631432183,0.07413160543368447,0.046846474320823006
2015-03,583204.9681783713,204713.9631971394,397227.7181289551,566945.8840438484,840419.7523178254,1947779.2958204555,-0.002290230578265162,-0.014015660873631153,0.006147691729634808,-0.004728032631778456,-0.004778943876981523,-0.0015178806901582353,0.06308965075638251,0.061135793621818424,0.07444278985277797,0.053864110332416226,0.06644607834965721,0.039333742272731564
2015-04,581962.2694595688,201264.5856074376,398058.8504876735,571345.7816289462,844228.0085629382,1956270.5497985426,-0.002130809555144997,-0.016849742615651864,0.002092332233594396,0.0077607011690687955,0.0045313740361405674,0.004359453864361207,0.053648725777257766,0.031120725244643266,0.06684072246949291,0.05397960646757838,0.06830609913536811,0.03754286217753
2015-05,588217.3434339393,204212.9007815731,406141.0470643958,577855.6751321033,853768.9818136088,1976605.3151705528,0.010748246583372367,0.014648951603865923,0.020304024309020008,0.01139396441257845,0.011301417571908612,0.010394659048619026,0.0514402849455462,0.04204766704086893,0.07701044429945303,0.06157201465278406,0.0707429245717539,0.04998651317696945
2015-06,588652.5546298405,203691.2163061283,408718.5472817755,580616.7123528755,870461.237115593,1986017.9334746308,0.0007398816113795004,-0.002554610768703447,0.0063463179504017475,0.00477807407557429,0.019551255266414103,0.0047620120374238795,0.04651757411242641,0.03588477074008356,0.08391379620764639,0.07149516991802884,0.07312474828297932,0.04095380561441764
2015-07,595629.3383255489,208444.2185318359,406836.102961526,593020.2892963717,878514.3341959834,2015149.6880448833,0.011852125062288277,0.023334350454092823,-0.004605722771253928,0.021362762524062218,0.009251528657468366,0.014668424730327256,0.04600537908914393,0.04211137299047385,0.06702435781255178,0.09438926679710335,0.06476227133683299,0.0398211612992907
2015-08,600256.0260305632,209298.5159118403,416381.439974565,595730.4710491499,882879.0241660763,2022934.8692765813,0.007767729705895565,0.004098446030413205,0.023462364680898684,0.004570133268110954,0.004968262668232359,0.003863326520051835,0.053575939698684794,0.05243217183383564,0.08016912512378926,0.07478395396805504,0.07394469065838716,0.03491907017767959
2015-09,602203.3048934424,212952.939534686,416604.4428637375,589975.0700976818,885671.5965933475,2045432.3790566628,0.0032440804897144737,0.017460341784673705,0.0005355735577121656,-0.00966108203485394,0.0031630295327367275,0.011121222992279023,0.05905923592928697,0.08058113241034248,0.09260309861060745,0.06572439703030275,0.07524013997489831,0.04939872976647086
2015-10,600902.3988736017,209491.9687209868,417882.2176402739,598874.3369109469,877788.4338164089,2031377.4669819481,-0.002160243906451087,-0.016252280063668634,0.003067117498202876,0.015084140439682647,-0.00890077406485712,-0.00687136481197026,0.05019114442972206,0.055580125005121994,0.08962619803140504,0.07964897425798245,0.06090666451326188,0.0413965534658467
2015-11,603723.9470695095,216593.962256387,409440.8994740607,594832.3354398411,873682.7778702261,2034909.9013661246,0.004695518275841248,0.03390103009084333,-0.02020023300795193,-0.006749331574224304,-0.0046772727778291445,0.0017389354965253734,0.05712887457914584,0.09405246632115216,0.06580867767783727,0.0664688541317644,0.05029187181722805,0.039647702493667225
2015-12,605520.7969618912,218403.3188418417,413584.0916064678,591488.9769181372,872099.4598113722,2062831.8550388801,0.0029762773219510485,0.008353679699127259,0.01011914573685524,-0.005620673797485765,-0.001812234484824704,0.013721469267022668,0.056863406634841684,0.09943471833023287,0.06939217869540171,0.04867525112666704,0.05415137412832527,0.058343174170730094
2016-01,604812.4781771348,213041.9913051051,410150.4549638807,596693.3861508825,890659.6758868236,2052637.713023328,-0.0011697678895760122,-0.024547829974227886,-0.008302148734130377,0.008798827088650096,0.021282224024615104,-0.004941819174767437,0.04694007411917056,0.06374949583421241,0.04806147187821308,0.044659333540589596,0.05891006753018746,0.046666072424983884
2016-02,602958.268735147,210994.5874474718,411487.2140606077,603384.0933403805,889764.7375826002,2048463.3947225488,-0.0030657592376007736,-0.009610330081364693,0.0032591920368458815,0.01121297360551976,-0.001004803886885619,-0.002033636171787423,0.031502452987817176,0.01623433797379259,0.04226591375210398,0.059239145320482134,0.053655151959228764,0.05009539637274307
2016-03,600993.7354030671,209847.4049140853,416004.9825491474,598690.9414474642,893427.7241218942,2039255.5680394068,-0.0032581580416849443,-0.005437023514511252,0.010979122398379726,-0.007778050407220127,0.004116803447668627,-0.004494992054465796,0.0305017415751081,0.025076167921200154,0.047270780872588736,0.05599309968914179,0.06307321033076163,0.046964392944950806
2016-04,603982.9215318302,213495.8485569949,419958.808763656,597265.8033363863,895143.0205159306,2056240.642157223,0.004973739246646902,0.01738617470348669,0.009504276103331266,-0.0023804237084867896,0.001919905044050818,0.008329056143829172,0.037838624989744885,0.06077205740216085,0.055016885692033446,0.0453666108001014,0.0603095507807907,0.05110238579677806
2016-05,605049.6185424053,211307.5217697957,420964.1229122414,602770.9442354767,896380.4692177344,2065415.8427850478,0.001766104590953832,-0.010249973486556985,0.002393839890023841,0.009217237732912276,0.0013824033405194225,0.004462123955588648,0.028615740926986932,0.034741296759752904,0.036497359611857405,0.043116768036720377,0.04990985654410718,0.04493083517122476
2016-06,603988.6835522656,213605.4805583366,417049.2749203638,597400.4001907561,896028.1295580685,2050268.1114574794,-0.0017534677448364233,0.010874950258724647,-0.009299718856786598,-0.008909759330772538,-0.00039306931795757283,-0.0073339862190380245,0.026052938701792927,0.048673008252393624,0.02038255345638862,0.028906656458211222,0.029371661083031464,0.03235125771016567
2016-07,609401.5160656685,217740.2491821675,422509.3431498676,595563.4047563941,894137.241052217,2065291.25878472,0.008961811141176002,0.019357034346792812,0.013092141763215936,-0.003074981927992382,-0.0021103003839668677,0.007327406227159772,0.023122060741394,0.04459721030310937,0.038524703373790326,0.004288412227918537,0.017783326063235627,0.024882305784680758
2016-08,607347.3576942458,215785.8474829789,419671.5513115034,598902.0253030382,895711.218745712,2080444.279586488,-0.00337077988365464,-0.008975840280009528,-0.006716518544200856,0.005605818826309061,0.0017603312122898007,0.0073369897525661365,0.011813845019727598,0.030995592791833948,0.007901676254204348,0.005323807339085551,0.014534487997102774,0.028428700885695157
2016-09,607791.381148856,214779.6613429992,419353.9239088037,599025.3318055036,894840.3831191092,2070298.9306200836,0.0007310865009704237,-0.004662892176277023,-0.0007568475911866601,0.0002058876030732737,-0.0009722281114467046,-0.004876530011378555,0.009279384902084464,0.008578053969598542,0.006599740094383799,0.015340074804047754,0.010352354711417489,0.0121571125098201
2016-10,608503.8509949797,215816.0366481569,423052.973084856,607675.5817994482,899957.4071123678,2067277.971040172,0.0011722276231969087,0.004825295368645843,0.008820828815844672,0.014440541216966807,0.005718365073581477,-0.0014591900402550761,0.012650061200665919,0.03018763900965027,0.012373714951980253,0.014696313309899178,0.025255485766169983,0.017672985273171182
2016-11,610225.7826643613,216310.5894853533,422038.5530184245,614324.6524834915,895972.9432769946,2073867.6523359187,0.0028297794115288433,0.002291548139226718,-0.002397855897417478,0.01094180987880744,-0.00442739156751637,0.0031876125939807043,0.01076955059744078,-0.001308313343925338,0.03076794125976634,0.03276943078293981,0.025512881759103934,0.0191447055929308
2016-12,612357.2993138718,219977.7547890111,419551.4279236092,609922.9867618826,893028.621119906,2051388.7977804742,0.0034929967072250268,0.016953239840835854,-0.005893122978996468,-0.007165048161122289,-0.0032861730693785063,-0.010839097919351448,0.01129028496838047,0.007208846255259971,0.014428350698796777,0.031165432599932652,0.02399859451014974,-0.005547256423471425
2017-01,619752.2661804929,226137.9319956249,422045.0902887387,619853.4301153357,905455.180986041,2074777.089478884,0.012076228820832258,0.028003637061039477,0.005943639323243044,0.016281470888930505,0.01391507458131791,0.011401198896920484,0.024701520789362164,0.061471171060190954,0.02900066349043917,0.038813978002760985,0.016611850182265853,0.010785817835796685
2017-02,617307.943487248,223355.7411602366,419474.1551221127,613712.0580692015,900915.8892561733,2064543.8705797219,-0.003944031876332077,-0.012303070125546878,-0.006091612545159886,-0.00990778101363654,-0.005013270480074383,-0.00493220160905683,0.02379878591300022,0.05858516970650807,0.019409937389521348,0.017116733508244497,0.012532696793390086,0.007850018652323154
2017-03,621696.6950829158,223590.4055433075,423460.2839813395,620151.0102406563,909421.2661664909,2082412.6212418359,0.0071095012496926735,0.001050630630096805,0.009502680464464675,0.010491813036413777,0.009440811302972918,0.008655059801222054,0.03444787933765059,0.06549044833243856,0.017921183026482934,0.03584498663251501,0.01790132722858573,0.02116314103970862
2017-04,628657.8362419326,228858.8094744282,426903.6036136104,623277.4036923163,912089.7783251337,2064137.5111658517,0.011197005250427328,0.023562745987775635,0.008131387434724857,0.005041342189294751,0.0029342970721275563,-0.008775931287376637,0.04085366296040549,0.07195906159895205,0.0165368476741794,0.04355112951491025,0.018931899619164305,0.0038404400957390283
2017-05,629328.601191312,231420.6037244969,429265.2073020447,619814.2066679255,916373.3383450087,2046043.4587779983,0.0010669793816444617,0.011193776005179013,0.0055319366443480344,-0.0055564296152479375,0.004696423665377258,-0.008765914232929939,0.04012725883109547,0.09518393754394094,0.019719220565344697,0.02827485729934387,0.0223039990426408,-0.009379410966910862
2017-06,633463.3237869366,232911.7416286164,432894.0311038278,625292.7482883772,928481.8646149251,2052422.583118866,0.006570053526564035,0.006443410310581932,0.008453570753125916,0.008839006207850497,0.013213529642607025,0.0031177853595922844,0.048799987544999146,0.09038279832434903,0.03799252782897078,0.04668953701523271,0.036219549349263414,0.0010508243528477568
