,Brooklyn_All,Brooklyn_Q1,Brooklyn_Q2,Brooklyn_Q3,Brooklyn_Q4,Brooklyn_Q5,Brooklyn_All_MoM,Brooklyn_Q1_MoM,Brooklyn_Q2_MoM,Brooklyn_Q3_MoM,Brooklyn_Q4_MoM,Brooklyn_Q5_MoM,Brooklyn_All_YoY,Brooklyn_Q1_YoY,Brooklyn_Q2_YoY,Brooklyn_Q3_YoY,Brooklyn_Q4_YoY,Brooklyn_Q5_YoY
2010-08,616221.6375490518,258274.7777835977,416905.7146673417,550290.9300985005,659453.0478851154,1125143.8334456736,-0.001907065925295326,0.010722086988331547,0.013186053756395255,-0.0247944160936292,0.002057640627920909,0.018454465507234508,-0.05919776742957472,-0.03937247051493786,-0.06517255038370473,-0.0316926261207523,-0.05755544814332114,-0.013077919527616721
2010-09,616055.827660379,250964.8666701586,412573.6703513579,543252.5769528893,673980.9778224145,1118365.8120439546,-0.0002690750836538136,-0.02830284542753103,-0.010390944915303901,-0.012790240145065246,0.022030271880447927,-0.0060241377148748665,-0.052098793918837316,-0.058727737175074846,-0.07634565905427759,-0.041345028556298735,-0.04082258681138129,-0.007554527107798914
2010-10,613651.8984870785,248436.5072611822,413745.1932921008,539561.6656614378,678650.6556758408,1118430.5910784008,-0.0039021287769162027,-0.010074555225689785,0.0028395484853533937,-0.006794098082615441,0.006928500962317452,5.792293876361043e-05,-0.04771849603412448,-0.03534480766503134,-0.06512103145970727,-0.04218942045163787,-0.05433127107828084,0.03375417353790544
2010-11,608045.455957228,242780.8477882904,405334.3624789581,549148.8873415834,674707.0311735098,1129750.928133133,-0.009136193571099294,-0.022765009600404618,-0.020328528160579062,0.017768537481981372,-0.005810978696253799,0.010121626809060258,-0.038820373155877164,-0.01878195248643255,-0.06602199639083906,-0.028778568793599857,-0.05005093132553884,0.051309688053059244
2010-12,592388.5209256964,229258.2212393707,398495.6513342367,538003.2347952141,659841.2160423642,1146504.4771201473,-0.025749612760255447,-0.055698901590094496,-0.01687177742073709,-0.02029623077327003,-0.022032992757300307,0.014829418210524414,-0.04929473463297074,-0.08140518937079055,-0.058860811077642294,-0.06856134876713027,-0.04429635904988616,0.04490636438337403
2011-01,589759.8127423215,233554.9327436225,396915.0061576183,523479.6981006404,671105.8216504318,1115659.9921329375,-0.004437473196251429,0.01874179901171602,-0.003966530553912273,-0.0269952590528606,0.017071691392106514,-0.02690306545046095,-0.05746883159046645,-0.0726395174968203,-0.075609255512599,-0.082057322632903,-0.027753775133552483,0.005370966526819565
2011-02,596330.2503019752,235438.2200858405,406062.9714995532,529982.4022118455,671030.5313859793,1135994.9199004888,0.01114087026225441,0.00806357339617958,0.023047668140574462,0.012422075077217043,-0.00011218836437365542,0.018226814541117076,-0.054857502435763705,-0.07040534674982146,-0.059893247212941314,-0.08952072895414132,-0.005739292069161461,0.016640234809095267
2011-03,596425.8921894429,237303.956439635,404607.3662286316,541972.4616664627,669026.9589561913,1117152.5263000818,0.00016038409491936356,0.007924526243505703,-0.003584678665838892,0.02262350486464748,-0.0029858141113932035,-0.016586688259184856,-0.032143342950265,-0.04194209003802585,-0.05087820948330368,-0.05812077500325674,0.0163197852585395,0.012222415090279215
2011-04,599001.5981397744,237240.7783693169,408034.7686325106,548883.7199807881,658558.8230960481,1119234.473225979,0.004318568298361969,-0.0002662326885146671,0.00847093426851342,0.012752047019279455,-0.015646807232514992,0.0018636192255612194,-0.029783543631515585,-0.04028263686192679,-0.022846584584437446,-0.06828332778714097,-0.012898933937932622,-0.006270885583588015
2011-05,587769.2095087434,227932.1226295982,399321.7421990178,542239.521389698,663830.128766175,1118733.3786614425,-0.018751850856347785,-0.03923716573391001,-0.021353637246878998,-0.01210492923951656,0.00800430498424598,-0.00044771187496761566,-0.05193105700421419,-0.08879375612609453,-0.05294407981799287,-0.05592374184469939,-0.004607010322281724,0.011275623979999372
2011-06,596203.7942802042,228441.4217284841,408081.9197658102,539409.7324587293,673499.1692847183,1138522.9471869424,0.014350164375759755,0.0022344331856793964,0.021937642359644904,-0.005218706529756978,0.014565534312994677,0.017689262609807965,-0.04730969152470277,-0.12064066465093437,-0.032535320501604126,-0.04482408841086116,0.020750787156898376,0.019173263575128274
2011-07,599339.7880473942,237807.1725607716,413173.5667050437,540281.5669060728,671485.5478658295,1144051.5285819957,0.005259935943507488,0.040998479003598876,0.012477021628783502,0.0016162749666557286,-0.002989790501192968,0.004855924431486747,-0.029250563256441375,-0.0693750128678583,0.004115992749980757,-0.04253264571492266,0.02034136617926663,0.035569278717439534
2011-08,601103.4358055458,234422.4271101711,413538.0310278431,542010.8003150116,674952.644019921,1169961.5097557034,0.0029426508857310907,-0.014233151229850027,0.0008821094865916201,0.003200615225207981,0.0051633220776095,0.022647564839865186,-0.024533708039913837,-0.09235261328309774,-0.008077806374483743,-0.015046822200043719,0.023503714456265312,0.039832841791239026
2011-09,586479.977139349,222912.0782743141,414567.4465824392,536175.4087131923,674652.2151351064,1155546.9646864675,-0.024327691034737975,-0.04910088585699823,0.00248928871677756,-0.01076619063389117,-0.0004451110570147243,-0.012320529307195516,-0.04800839338433249,-0.1117797433882014,0.004832533858458055,-0.013027399298118247,0.0009959291653314217,0.03324596678662739
2011-10,577981.7268908921,212291.6884146947,406635.1615054266,526428.031164656,667774.9935374188,1156974.6742686608,-0.01449026493608263,-0.047643851072753485,-0.019133883141099983,-0.018179456554954232,-0.0101937286255116,0.0012355270930772821,-0.05812769696326048,-0.14548916036920578,-0.01718456649635225,-0.024341303937301606,-0.01602542051269573,0.034462651055614746
2011-11,586350.7407180731,221391.8768228033,399731.7637748857,532914.7391669987,678770.3801350989,1155798.261402423,0.014479720444104727,0.04286643757023634,-0.01697688341800896,0.012322117399393706,0.016465705820210674,-0.0010168008793981498,-0.03567942992847717,-0.08809991051740096,-0.01382216565555372,-0.02956238016464685,0.0060223901246765355,0.023055819314379278
2011-12,582814.2234370934,215774.3383560783,393287.3826227075,547205.1715899006,674844.1855014731,1181993.133751166,-0.006031402427578936,-0.02537373343296201,-0.016121763983228066,0.02681560739948652,-0.0057842751371153245,0.022663879349462457,-0.016162192801510766,-0.05881526433555351,-0.013069825716017114,0.017103868898091568,0.02273724207331962,0.0309537880917492
2012-01,589455.0297345165,219176.121140302,394833.7828693187,536966.1208579734,698357.6239292674,1198665.1187859513,0.011394379255639242,0.01576546502304632,0.0039319854003418975,-0.018711538676028594,0.034842766571844264,0.014104976212404141,-0.0005167917535577882,-0.061565009286720485,-0.0052434986231615355,0.025763029218260458,0.040607310203055524,0.07440002082921615
2012-02,585694.1840051941,217423.0647634806,399092.7505320795,525338.983904349,689486.4415224249,1196163.8796209104,-0.006380208055932979,-0.007998391283232986,0.010786735703845363,-0.02165339022701518,-0.01270292197417322,-0.0020866872038241002,-0.01783586576631835,-0.0765175480675635,-0.017165369552740284,-0.008761457527867833,0.027503830709946886,0.05296587041576939
2012-03,592356.603814654,218575.2792190128,391598.3568787849,522908.486754695,692204.9283801664,1189106.3277903385,0.011375253487920789,0.005299412262381731,-0.018778576266551772,-0.004626531104907627,0.00394277058115744,-0.005900154611597652,-0.006822789600650525,-0.07892273479808742,-0.032152181190136075,-0.035175172652037734,0.03464429813132952,0.06440821624291715
2012-04,593140.4004662497,215231.233338608,399786.1171987118,529882.0770623005,695951.9042342074,1173277.5931995837,0.0013231837824514425,-0.01529928678281156,0.020908566586405053,0.013336158207883475,0.005413101959284239,-0.013311454342496587,-0.009784944967971554,-0.09277302655130493,-0.020215560211801042,-0.03461870379240373,0.05678016879701819,0.04828578931976235
2012-05,587537.5007873882,221602.0179359919,393845.373607302,530916.2929414394,679529.5308537694,1158423.3594536874,-0.009446160933325731,0.029599721650812594,-0.014859804620121264,0.0019517849799197684,-0.023596994678114047,-0.012660459751377418,-0.00039421718185761456,-0.027771884983026518,-0.01371417584616863,-0.020882337051416733,0.023649728156771133,0.035477604896113624
2012-06,589495.6318598349,221947.4277329714,391110.1595961254,532235.6013767271,689789.1317443845,1178820.764851611,0.0033327763246133735,0.00155869427632771,-0.006944893083608572,0.0024849650553731006,0.01509809423252717,0.017607902354060956,-0.011251458787624902,-0.028427392660999917,-0.04158910098105917,-0.013299965963352478,0.024187056499218373,0.03539482253233128
2012-07,579791.1197231837,207315.2935894019,399855.7659390148,543970.5085158835,691503.991193274,1186357.9163190878,-0.01646239872216504,-0.06592612625893401,0.022360979709451723,0.022048331807947186,0.0024860633053942482,0.006393806159688431,-0.032617004100293,-0.1282210231214852,-0.03223294479420613,0.006827813191805587,0.02981217301112249,0.03697944251648266
2012-08,575852.9779861373,206112.3370896946,399318.7250080931,543763.9234586438,700926.5576159608,1210450.7169922746,-0.006792345731212013,-0.00580254586566975,-0.0013430866243994144,-0.0003797725317926659,0.01362619239033891,0.0203082057630124,-0.0420068432741032,-0.12076527988156882,-0.03438451835834333,0.003234480092672243,0.03848257181621362,0.034607298529868435
2012-09,576149.2733667106,206127.0963253379,399464.1928248808,544836.3277636645,703731.3440986013,1194924.350435632,0.0005145330351674637,7.16077254359071e-05,0.0003642899961298074,0.00197218730179749,0.0040015411774099174,-0.012826929951532784,-0.017614759540518388,-0.07529866519085937,-0.036431354854474796,0.01615314486589048,0.043102399000752634,0.03407683716243293
2012-10,586335.7205479349,213420.6352773759,392304.8641476951,553422.1076520912,703966.1043097698,1216077.7644944955,0.01768022221342047,0.03538369812635578,-0.017922328974112278,0.015758457083190125,0.0003335935128330192,0.01770272239506343,0.014453733169006888,0.005317904205820234,-0.03524116631891472,0.05127780986075936,0.054196564894763544,0.051084169377514144
2012-11,572711.6436498881,199650.8913090773,387934.7605486958,549533.3926911438,712553.6181132105,1210822.016845047,-0.023235966052545742,-0.06451927176771122,-0.011139560067636611,-0.007026670794640588,0.012198760353469895,-0.004321884506812923,-0.023260987189138493,-0.09820136956120995,-0.029512298734492126,0.031184450912582706,0.04977123187282806,0.04760671241697434
2012-12,569637.9439554212,194774.7688501412,404782.7355874316,544663.2455729801,725168.1564044832,1238451.671865968,-0.005366923701565107,-0.024423244128609634,0.04342991851234457,-0.008862331539697399,0.017703282911782914,0.022818923538336033,-0.022608026626334432,-0.09732190429096754,0.029228888270112385,-0.0046452887306144275,0.07457124471720045,0.0477655381428701
2013-01,567766.1365943425,195596.4903778043,395533.2566463181,544087.3446340573,721474.4205235107,1234455.9700889848,-0.003285959759073198,0.004218829433165983,-0.02285047786855421,-0.0010573523064091317,-0.005093626696581421,-0.0032263687536251417,-0.03679482241409049,-0.10758302793123897,0.0017715651683001266,0.013261961042729364,0.033101659954935414,0.029858924517035756
2013-02,570706.6919002229,199883.0424863684,387067.3426277768,552436.2636590467,706611.5759659973,1254384.8957259776,0.005179166414395198,0.02191528130328102,-0.021403798230072657,0.015344813856320805,-0.02060065351551721,0.016143893439598545,-0.025589279378670282,-0.08067231641773043,-0.03013186255142486,0.05158056147539103,0.024837521686081443,0.048673110011914655
2013-03,573145.97915268,197549.720818572,380496.3349851762,558048.6520457558,712939.0616191928,1292839.0342908571,0.004274152181982016,-0.01167343481854144,-0.01697639381816718,0.01015934100621041,0.008954687226210956,0.030655772957648875,-0.03243084408658836,-0.0961936705539932,-0.02835053237224172,0.06720136731600923,0.029953749805778696,0.08723585441957926
2013-04,590300.6552618494,206586.7544117335,385385.0474948034,553015.451180774,728760.8540388658,1288913.3079192664,0.029930727481557673,0.045745615613706825,0.012848251244831577,-0.009019286842698149,0.02219234892774602,-0.0030365159679326403,-0.004787644210659137,-0.04016368253242664,-0.036021935440920805,0.04365758933898345,0.04714255339348461,0.09855784802327872
2013-05,605484.1980684134,210079.4602466317,396058.1315683229,560856.7337571755,730779.2771359833,1318591.0974912383,0.02572171091327835,0.016906726885002277,0.027694598280083582,0.014179138321830154,0.002769664542121353,0.023025434984360382,0.030545620078674007,-0.05199662799410254,0.005618341890762268,0.05639390091017327,0.07541945413001128,0.1382635603214062
2013-06,605085.061093802,213616.8681101459,403592.5897665335,561616.8941121193,732851.5218630881,1345795.968964761,-0.0006592029583674108,0.016838427989872562,0.01902361698363686,0.0013553556714056558,0.0028356643270266435,0.02063177244657788,0.02644536853442503,-0.0375339318320379,0.03191538205833844,0.0552035464358116,0.0624283395271894,0.14164596441781252
2013-07,611093.7746431277,213982.6973037902,398668.5817529216,590106.6438129473,761532.1462570445,1367015.154251135,0.009930361755194905,0.0017125482499615874,-0.012200442075659401,0.05072808528288397,0.039135655092921384,0.015767015042181143,0.05398953839598164,0.03216069397944854,-0.002969031053748239,0.0848136701802773,0.10126934328018611,0.15227886580179129
2013-08,610347.2251375074,211790.7732256398,399895.8728101457,592806.8991894297,764303.2868282513,1379746.6654229595,-0.0012216611207604977,-0.010243464101391875,0.003078474485819438,0.004575876927998657,0.003638901633800984,0.009313365058340572,0.05990113530714525,0.02755020012933085,0.0014453311750930453,0.0901916688750608,0.09041850180117539,0.1398619093318818
2013-09,615404.3346750159,214643.6558975507,400475.3956035884,606204.4800801418,772411.4361986904,1396752.3061927643,0.008285627146693564,0.013470287815000592,0.001449184232310774,0.022600244546801207,0.010608549655839905,0.012325190700563704,0.06813349095959031,0.04131703072540649,0.002531397799529156,0.1126359407207096,0.09759419226673849,0.16890437933041702
2013-10,621653.1982762972,214939.8891480513,410885.1106755993,609400.337739873,793302.2753431743,1376942.2217831744,0.01015407797636203,0.0013801164970932422,0.02599339481598273,0.0052719136277394885,0.02704625820572404,-0.014182961661676208,0.06023422501934195,0.007118589393667829,0.047361754150744284,0.10114924813045678,0.1269040803051129,0.13228139020825513
2013-11,610979.6747283688,211363.2543886228,407500.6497342592,603573.3039710969,781196.7475988108,1364530.1674329194,-0.01716957875793723,-0.016640162854857143,-0.008237000692907115,-0.009561914242429248,-0.01525966598183115,-0.009014215813776927,0.06681902053640587,0.058664216336573816,0.05043602990845497,0.0983378116756688,0.09633398489697131,0.12694528877859268
2013-12,602637.0655396344,196391.7305477003,412004.9114507001,611949.6021009884,777682.0377947659,1364227.510196697,-0.01365447908302897,-0.07083314403077423,0.011053385361172507,0.013877847271874355,-0.004499135224062534,-0.00022180325759435515,0.057929992084227555,0.008301699994844647,0.017842104487948207,0.12353753824020863,0.07241614365784632,0.10155893943057404
2014-01,617592.4355889946,202373.9533374244,424425.5930229671,622926.8891527094,797998.2816195284,1380538.395131093,0.024816545321467043,0.030460665390751318,0.030146925988170592,0.017938220752220513,0.02612410064448989,0.011956132545695608,0.08775849030646232,0.03465022785699845,0.07304654132404398,0.1449023677837573,0.10606593791709362,0.1183374932615684
2014-02,615738.3416359838,205065.1192534904,419241.1896874368,631017.26284886,785283.7468476793,1403652.4168189098,-0.003002131901506555,0.01329798559392148,-0.01221510535829018,0.012987677746829851,-0.015933035276774254,0.01674275903468958,0.07890506695448707,0.025925544771890463,0.08312209147181915,0.14224446213819153,0.11133722338772967,0.11899658677454283
2014-03,615045.2572235916,205383.0892092088,413935.3043831284,623177.998365819,798538.6207020994,1443661.2371782651,-0.001125615160736504,0.0015505804052677874,-0.012655925598017093,-0.012423217152014221,0.01687908849206221,0.028503367272381563,0.0731040251435664,0.03965264217118736,0.08788250062712155,0.11670908276779257,0.12006574431270045,0.11665969149062416
2014-04,621776.9097062211,208296.7144960847,426712.3551794519,627655.7757960265,795955.0297994806,1464152.59713701,0.010944970965254264,0.014186295951114092,0.03086726515237581,0.00718539075825797,-0.003235398809323997,0.014194022414009355,0.05332241149285055,0.008277200971671173,0.10723640668805601,0.1349696910925069,0.0922033275912364,0.1359589416456859
2014-05,630423.6786163761,208853.9371150345,430502.4768015239,631601.6032365243,801680.8556095532,1470058.4364333206,0.013906545539364767,0.002675138781222941,0.008882146429713966,0.006286610579650187,0.007193654912281966,0.0040336227985107165,0.041189316959094,-0.005833617099731958,0.08696790316312208,0.12613714915292062,0.09702187882426294,0.11487059121684151
2014-06,635894.6367639388,210832.134684658,434273.8134534464,620655.9468967628,824590.5477406002,1471583.4344675867,0.008678224395965106,0.009471679571613434,0.008760313482844895,-0.017330000879783203,0.028577072747518528,0.0010373723904242294,0.05091775958646694,-0.01303611203611521,0.07602028497267765,0.10512335615897106,0.12518091747191717,0.09346696557546275
2014-07,647842.7714696985,218495.331828329,441768.3167780064,620146.5293807294,839512.7249146437,1503209.6132549776,0.018789488092813,0.036347386773524226,0.017257552936388088,-0.0008207727946223375,0.018096468865585136,0.02149125767974769,0.06013642807608677,0.021088782323985145,0.10810918391305857,0.050905858937090986,0.10239958883006617,0.09962907768820695
2014-08,653552.8003274715,220404.4397081974,451288.1794852589,634225.591228709,843867.6490694674,1536584.384360738,0.008813911506366123,0.00873752250857418,0.021549446498754454,0.022702798743449826,0.0051874426981037836,0.022202340120412334,0.07078851743813552,0.04067064089416528,0.12851422124957046,0.06986877530594326,0.10410051037644585,0.11367138828322543
2014-09,646490.9069141818,212959.5106820955,444143.9712700276,639664.5418034996,849818.751722647,1534086.599902167,-0.01080539079589471,-0.033778489380515864,-0.015830700957822463,0.008575734959312298,0.007052175373403413,-0.0016255433050038626,0.05051406122380042,-0.007846238028386132,0.10904184413282825,0.055195998747706865,0.10021513392513359,0.09832401428693216
2014-10,654818.9034379972,215344.8983714241,453579.4256589096,644920.2321849272,855239.3377586122,1549249.858184758,0.012881846341144199,0.01120113246733312,0.021244134783370727,0.008216322834793344,0.006378520155006395,0.009884225755937281,0.05335081562141242,0.0018842906497165135,0.1039081579595571,0.05828663399956335,0.07807498395065693,0.12513788427407002
2014-11,661089.4890921125,221029.0898158978,456070.4739005038,648209.2675482826,867891.8317920414,1566381.4860666548,0.009576060833297317,0.0263957562378363,0.005491978032238887,0.005099910344280145,0.014794097365292469,0.01105801481367874,0.08201551776009852,0.045730916924201725,0.11918956251460755,0.07395284596504159,0.11097727231930765,0.14792734045116562
2014-12,655018.4951516516,218309.6504099366,448117.3480341551,659437.0366295621,864904.8118018984,1528226.926324898,-0.009183316390037222,-0.012303536191667352,-0.017438370430627348,0.017321210361194384,-0.003441696166186281,-0.02435840826845248,0.08692035821778066,0.11160306903509265,0.08765050022413678,0.07760023761031398,0.11215737250980595,0.12021412477201499
2015-01,662094.6562868124,223234.8632779657,456100.5329491824,656910.3840461298,879717.7182270497,1544507.1316997642,0.010802994400215482,0.022560674064479702,0.017814942782395482,-0.00383152968833278,0.017126631998139574,0.010653002570774728,0.07205758706447929,0.10308100225605243,0.07463013646422878,0.054554548029936534,0.10240552954784898,0.11877158733647608
2015-02,684359.8683877769,229776.9955770771,476946.3211311745,662694.0049053454,913188.3317768488,1547569.849672698,0.033628442533931935,0.029306051048869186,0.0457043714621459,0.008804276808036304,0.038046992639019006,0.0019829743159316404,0.11144592128122044,0.12050745837979004,0.13764184641962185,0.05019948568993837,0.16287690333921945,0.10253067720279896
2015-03,682871.3520753066,227075.3759694392,488958.0956728702,659093.0599271597,902401.4979675097,1528252.1570830925,-0.0021750490951156776,-0.011757572166233965,0.0251847514269683,-0.005433797426159015,-0.011812277307957308,-0.012482598180425297,0.1102782178304933,0.10561866044450263,0.18124279445442637,0.05763210776940464,0.13006619163152178,0.058594715800616815
2015-04,674246.8462087357,221001.1321252405,477387.5039014809,670936.1249679052,889157.8509253468,1520480.4036178712,-0.012629766705485879,-0.02674990107697195,-0.023663769704981852,0.01796872969964869,-0.014676002945464561,-0.005085386877552223,0.08438707787863309,0.06099192519618257,0.11875716300906691,0.06895554990629749,0.11709558660537156,0.03847126767456088
2015-05,684009.3897705204,232400.516354314,491312.8955719433,681830.8950685281,875152.857873537,1590191.9209300263,0.01447918313104335,0.05158065987921501,0.029169996191052983,0.0162381629117736,-0.01575085125462805,0.0458483497362292,0.0849995217053896,0.11274184994803482,0.14125451547275314,0.07952685929645087,0.09164744517707102,0.081720210244278
2015-06,687861.4248627494,232588.9803138059,495950.7956088209,677669.4838565756,908385.1718121517,1602239.9951527638,0.005631552943332174,0.0008109446676296539,0.009439809291955426,-0.0061032893083179385,0.03797315364925291,0.0075764906513240415,0.08172232488587894,0.10319511141738258,0.14202325870147425,0.09186013159928064,0.10161967573015596,0.08878637637861697
2015-07,690647.2189330893,232457.9094386125,489474.7511601256,687629.1090545458,921921.7933548072,1615829.1897014885,0.004049935015465911,-0.0005635300305997237,-0.013057836595957939,0.014696877217033055,0.014901852168778928,0.00848137269687177,0.06607227763965695,0.06390332229731044,0.10798971445046446,0.10881715284483429,0.09816297715861588,0.07491940941133945
2015-08,690964.9213218905,229082.2885158729,505378.717163228,704346.9408666729,935418.5615058002,1620794.7673394685,0.00046000675901081145,-0.014521428549760795,0.03249190272921676,0.024312280547740706,0.014639818961084794,0.0030730832625305293,0.057244221087681346,0.03937238659604336,0.11985808655494812,0.1105621573896367,0.10848965775294972,0.05480361757923524
2015-09,696197.6974524579,235462.3752323559,506215.6674268067,701920.6703652787,934661.4519625003,1651705.8636264233,0.007573142961521784,0.027850632878765325,0.001656085298321619,-0.0034447093621344793,-0.000809380500298329,0.019071567177931792,0.07688706833563308,0.10566733778728721,0.13975580030791668,0.09732621474726644,0.0998362298641573,0.07667055023605407
2015-10,692780.0930475608,229404.2441703617,503961.4901991491,711277.637512179,927790.2736726246,1626922.9134975022,-0.004908956776793261,-0.02572865858511786,-0.004452997749192611,0.013330519447491085,-0.007351515648204354,-0.015004457315728414,0.05797204297288272,0.06528757312229527,0.11107660905705785,0.10289242299383172,0.08483114925951818,0.050135912488481926
2015-11,706865.4747050159,240459.649123301,496970.3789400488,707514.5846092259,917184.8527149345,1599145.0486394593,0.02033167782794254,0.04819180653314015,-0.013872312458512726,-0.005290554214687604,-0.01143083869127981,-0.017073866639647384,0.06924325128171138,0.08790951147465487,0.08967891451018972,0.0914910045721089,0.05679627243536989,0.02091671975457099
2015-12,710837.103769706,243735.0961214663,501965.1387727857,708148.5258385473,918920.626967371,1624603.5485313246,0.005618649102005602,0.01362160765894549,0.010050417578991055,0.000896011535467478,0.0018925020919158264,0.015920069235448864,0.08521684354138914,0.11646505623451087,0.12016448587597739,0.0738682944742588,0.06245290167011408,0.06306433982170079
2016-01,701429.4622618236,242241.0576728798,487179.0832636714,700352.7155031284,943352.3761804226,1611904.729118795,-0.013234595462155663,-0.006129763305986691,-0.029456339428796996,-0.011008722112621161,0.026587442371036385,-0.007816565108459628,0.05940964120690895,0.08513990205574729,0.0681396930486633,0.06613129052614886,0.07233531465254539,0.0436369609668672
2016-02,686741.397190287,241081.3244956616,478580.1105495289,719708.3363326545,922496.0597525783,1620989.196366494,-0.02094018837499867,-0.004787516981470175,-0.017650537573446146,0.027636961206927158,-0.0221087230545709,0.005635858673028071,0.0034799363792628046,0.049196956771908606,0.0034255205375723907,0.08603417415169257,0.010192561218581142,0.04744170139352599
2016-03,699638.9870979141,240724.9967999461,491179.8880671512,729604.4537328176,965213.7651900165,1644893.356734335,0.018780853987244495,-0.0014780393979538786,0.026327415702994017,0.013750177538014441,0.04630665354700314,0.014746650021741692,0.024554603105913175,0.060110528375141525,0.004543932115948612,0.10698245527490524,0.06960567703398057,0.07632326845451365
2016-04,697306.9297589102,243597.2938855973,489016.5772850756,710135.5870882958,965994.207351399,1609623.193864856,-0.0033332295398190714,0.011931860520651316,-0.004404314660741648,-0.02668413898094324,0.0008085692408550393,-0.021442218563945126,0.0342012479255045,0.10224455206660044,0.0243598194099246,0.05842502834717056,0.08641475340524574,0.05862804284414058
2016-05,697947.8004203447,235171.7538851845,500351.4426895245,730356.9580572693,969782.3759086167,1655699.2199480326,0.0009190653843869079,-0.03458798686150322,0.023178898080260968,0.02847536630558878,0.0039215230571663096,0.02862534924869209,0.020377513610596143,0.01192440350108992,0.018396722738285298,0.07117023200285466,0.1081291310240502,0.041194586738746874
2016-06,699872.2374012286,241704.0481398216,489694.254144725,707566.1455776787,964975.7733095605,1643128.643740479,0.0027572792402597024,0.02777669574138697,-0.02129940604850511,-0.03120503231764038,-0.004956372397005859,-0.007592306655763381,0.017461093331226918,0.03918959451010018,-0.012615246350024534,0.04411687767163874,0.06229802428909692,0.025519677895580628
2016-07,710339.7861410434,251596.5140817568,495077.8588864424,711105.8587274206,957351.2627076131,1634002.0288390354,0.014956370863749235,0.04092801100382304,0.010993808271489991,0.005002660418202964,-0.00790124561966754,-0.0055544128794854375,0.028513207131095397,0.08233148396354495,0.011447184380882991,0.03414158790507593,0.03843001609049779,0.011246757549233433
2016-08,703862.9518133518,245175.8285869164,494270.7715596518,716062.8010854919,956209.8951388899,1664289.2939645876,-0.009117938279759485,-0.025519771282498604,-0.0016302230291734832,0.00697075167815675,-0.0011922139899780415,0.018535634956996505,0.01866669362431006,0.07025222323081692,-0.021979448730898077,0.01663364961080549,0.022226770441267085,0.026835307900527905
2016-09,701438.1220031643,241553.7225290299,494220.3492481723,715870.4419807517,944773.4787922124,1689847.7071517496,-0.0034450311725322535,-0.014773503892136053,-0.00010201354071659452,-0.0002686344053183243,-0.011960152686995906,0.015356953433425025,0.007527207530105828,0.025869726705436635,-0.023696062667536433,0.01987371537044713,0.010818919308675845,0.023092394575377595
2016-10,692388.130419362,234146.8572029354,493131.3028072459,725803.5653528009,937278.0560703512,1692806.053684292,-0.012902052654277352,-0.030663428609361776,-0.00220356454885573,0.013875588080666024,-0.007933565971224521,0.0017506586658797563,-0.0005657821755162828,0.020673606321998772,-0.02149010907088056,0.020422303576742573,0.010226214551882995,0.040495551227535564
2016-11,703308.0178765088,243953.6251217391,500809.2006490644,730818.60732405,917201.6818066454,1675946.489016922,0.015771338325128337,0.041882979066868886,0.015569682553329134,0.006909640859660726,-0.021419870158785548,-0.00995953708381192,-0.005032721155311393,0.014530404627873805,0.007724447716990879,0.03293786901607887,1.8348636767306914e-05,0.048026562970510334
2016-12,703054.0555701606,249806.1155224286,494273.039927235,730041.3506621106,917583.3040344175,1643644.4916793737,-0.0003610968450422636,0.023990175992543383,-0.013051199365663235,-0.0010635425181433344,0.00041607231576423764,-0.019273883473747477,-0.010949130480486069,0.02490826925448908,-0.01532397023497789,0.030915583418943404,-0.00145531931018561,0.011720362894235059
2017-01,706875.1773070629,255402.7344198984,496551.638885579,721256.4804026561,931883.3408814981,1638120.2916641897,0.005435032636008863,0.022403850625375643,0.004610000494219779,-0.01203338722044589,0.015584456238693978,-0.003360945778207669,0.007763738676842991,0.054332972591260686,0.01923841959535655,0.029847481757118155,-0.01215774252391455,0.016263717124104682
2017-02,705434.6253439164,252931.8945622661,490163.4989317607,719777.8264920051,947415.295490105,1656157.5497819136,-0.0020379156170605706,-0.009674288974408807,-0.012865006282438918,-0.0020501083190621605,0.016667273603061528,0.011010948469113657,0.027220185400370855,0.04915590243829837,0.024203656037713683,9.655322280233136e-05,0.0270128370458409,0.02169561246567886
2017-03,726798.3351348914,257594.2524768012,500434.2089924482,748139.6043647244,991681.8138305034,1662393.0634526731,0.030284464390388788,0.018433254226810636,0.02095364114845566,0.0394035170699083,0.0467234575493094,0.003765048603969312,0.03881908889845276,0.07007687569261556,0.018841001331943552,0.025404382521346802,0.027421955213492222,0.010638809286141804
2017-04,723182.0756966243,256498.8329599983,497821.9226268709,776155.9511358339,968875.5048214262,1649369.4347281693,-0.004975602259182255,-0.004252499837516854,-0.005220039554923228,0.03744801987177149,-0.022997607388790087,-0.007834265560188625,0.03710725483060995,0.05296257141698835,0.01800623077172725,0.09296867421929278,0.0029827274823182037,0.024692885275763743
2017-05,727964.3197734944,263648.5575577852,495628.5188729687,765466.0102216799,1006421.941183771,1626142.3549809826,0.006612780152582376,0.027874296796125853,-0.004406000728791271,-0.013772929136870227,0.038752591200316155,-0.014082399769348664,0.043006825632335266,0.12108938765879018,-0.009439212948340492,0.04807108603141086,0.037781224102805266,-0.01785159080281362
