,Queens_All,Queens_Q1,Queens_Q2,Queens_Q3,Queens_Q4,Queens_Q5,Queens_All_MoM,Queens_Q1_MoM,Queens_Q2_MoM,Queens_Q3_MoM,Queens_Q4_MoM,Queens_Q5_MoM,Queens_All_YoY,Queens_Q1_YoY,Queens_Q2_YoY,Queens_Q3_YoY,Queens_Q4_YoY,Queens_Q5_YoY
2010-09,472893.4027747174,195700.4048133361,325984.5086928269,428420.7142924903,529579.6158997278,732612.4539148876,-0.003200957410775973,0.007598232115161085,-0.012379153924634734,-0.006031748900983347,0.006005326398589306,-0.013639302913784901,-0.031874794396265727,-0.06140731777311803,-0.0596182449602225,-0.019107329761363756,-0.018723536926878892,-0.0281916927904049
2010-10,468882.8763954786,200182.7967290307,325025.2537347345,429198.3718727809,527906.1511484629,722361.1811327542,-0.008480825394701852,0.022904356891698896,-0.0029426397037667362,0.0018151726897119858,-0.0031599870935775654,-0.013992763469080183,-0.04004191773271537,-0.05406992713624348,-0.06169678415542623,-0.031920068619083586,-0.011069397853175067,-0.003379744745120483
2010-11,466566.9863706466,199043.70718754,326857.6424000546,417976.6859206514,526287.2749358952,734743.1651776448,-0.004939165282885405,-0.005690246914836328,0.00563768090099126,-0.0261456862083711,-0.0030665985024910247,0.01714098759497862,-0.038424919787582,-0.08865385400334369,-0.03510780409972791,-0.026044607247196483,-0.01139693299247746,-0.03816264829915317
2010-12,462662.145345917,197860.7942539043,318123.4015455095,421759.1889844435,521614.489959852,740997.5950818148,-0.008369304170243175,-0.005942980817379762,-0.026721849886731097,0.009049555133584963,-0.008878772485259812,0.008512402973708255,-0.05121789031277024,-0.05149319971525623,-0.0623973603973631,-0.02565015736653742,-0.03391449301717642,-0.03214346380793487
2011-01,466211.5324793469,191718.5197342058,321898.2840103593,422201.8943551978,540982.0972096032,745043.5130850003,0.00767166099309069,-0.031043413844869416,0.011866094875481181,0.0010496638421093607,0.03713011740000138,0.005460095997664949,-0.038016238576360606,-0.05038783489505816,-0.06450402661254873,-0.006456165710606365,-0.009549645380984573,-0.026641367175050168
2011-02,463612.4181468436,189364.025415255,321159.2913134799,422302.4161940207,522690.7360849243,744551.3109234652,-0.005574967909268591,-0.01228099571295993,-0.002295733570470526,0.00023808950212411695,-0.0338113982311542,-0.0006606354567092465,-0.031623015656697784,0.008508435198314235,-0.061400787932816225,-0.022188384082064916,-0.028326842087381454,-0.032861325934316565
2011-03,464675.3197086008,195416.7561321747,316656.0102587832,408902.3492256467,526146.3030964567,757926.1249073497,0.0022926511891243617,0.031963466680889896,-0.014021954763566602,-0.03173097395260349,0.0066111120266170165,0.01796358932911657,-0.028245848940760876,0.005548531877063834,-0.07386494780468011,-0.0474505824877991,-0.02557836106622946,-0.015399124827290667
2011-04,459486.5719048162,195569.8133412124,314987.292546565,407373.7178804494,521781.3324081885,740324.569698156,-0.011166394219168985,0.0007832348262613031,-0.005269812219431569,-0.0037383775077158843,-0.00829611585709078,-0.02322331244531961,-0.03915965417678402,-0.007139482646175366,-0.06922269047490104,-0.05754870245885535,-0.026129810217788374,-0.009885272225039987
2011-05,464030.1002786976,197597.2833967402,312650.5423471493,406931.9391484819,523381.1620320791,756913.304443099,0.009888272371151308,0.010366988753987672,-0.007418553874106726,-0.0010844556547880968,0.0030660921051102186,0.022407381064911247,-0.035010500112228726,0.009075638049330426,-0.07094670236542222,-0.05839662357424258,-0.01190372294845421,0.030546655513168375
2011-06,464743.8813020076,198267.0154665443,313502.853693056,408101.4574113101,510013.5208621526,745349.2191866488,0.0015382213845207549,0.0033893789342205327,0.002726083055887729,0.0028739898501835004,-0.02554092913475392,-0.015277952162511377,-0.03425751486408657,0.008975985771416006,-0.06191165722615266,-0.05669253345203662,-0.0510762899815137,0.031406931958192885
2011-07,464536.3812197526,191713.1596976522,311022.4321704937,418356.9751110491,513211.5889385158,740694.6876374491,-0.0004464826555083956,-0.033055703963012495,-0.00791195835490166,0.025129823757043868,0.006270555476562745,-0.0062447661168530955,-0.02159786491751503,-0.0072387884395958,-0.06102664202594166,-0.03473659526481465,-0.011593006453040178,-0.010775508750394236
2011-08,462786.9907853598,189397.1136238955,308369.3458144293,417051.0450959404,521759.973126492,728317.3446480521,-0.003765884665048902,-0.012080788180682589,-0.008530209019168344,-0.0031215686430517975,0.01665664683382717,-0.016710451952715255,-0.024503986245380194,-0.024855380155315854,-0.06574703369131285,-0.03241023581782643,-0.008849101612286026,-0.01942206970659388
2011-09,456772.5128117442,188298.5588683109,303695.9761283197,413374.3726651617,518195.7479311877,746065.6878044135,-0.012996212282045616,-0.005800271897311471,-0.015155104583326362,-0.008815881110987078,-0.006831158729840414,0.024368969497682302,-0.034089902435482045,-0.03782233333694551,-0.0683729808323792,-0.035120481165754724,-0.021496046348384312,0.018363370452734395
2011-10,445966.5244075889,186697.5814486062,299266.2050915183,408953.066487602,511060.6906380739,749554.9725249518,-0.023657265052218546,-0.008502334958518709,-0.014586202600622156,-0.010695646537191017,-0.013769038672353684,0.004676913544713335,-0.04887436317584981,-0.0673645063450593,-0.07925245299320383,-0.047170042367215226,-0.03190995307355604,0.03764569872034684
2011-11,445807.8512833396,181916.0848718588,299647.6458742787,407404.1482376225,505464.6914178695,746967.7764562123,-0.00035579604200119963,-0.025610918682755557,0.00127458689377824,-0.0037875208108421043,-0.010949774308052662,-0.003451642859528037,-0.044493364712298145,-0.08604955443049245,-0.08324723976462045,-0.025294563163831607,-0.03956505222468487,0.016637938068619906
2011-12,449227.8784792125,184322.0631190078,299949.8285679353,403030.7633446839,519526.8149588417,745125.3321489552,0.007671527511298182,0.01322575872740317,0.001008460095773378,-0.010734757885645707,0.027820189579467636,-0.002466564643521907,-0.02903688361333323,-0.06842553718612376,-0.05712743196282699,-0.04440549519467696,-0.004002333219636944,0.005570513446382597
2012-01,447243.2756931197,178705.107298344,296065.1138485595,405281.1551172327,509431.0273884266,722778.9886954825,-0.004417808602643736,-0.030473594563865114,-0.012951215001264726,0.005583672456844546,-0.01943265925785742,-0.029990046626150013,-0.04068594503733669,-0.06787770140257343,-0.08025258737001673,-0.04007736455992705,-0.05832183723623696,-0.029883522235268023
2012-02,449115.5903680496,185619.3455391403,298094.0301574065,400830.4563409737,501022.4039828372,727726.3226814353,0.004186345053546869,0.038690770204195424,0.00685293948507848,-0.010981756047777735,-0.016505911406095142,0.006844877982524089,-0.03126928272702634,-0.019775033129460606,-0.07181875717106256,-0.05084498461212228,-0.04145535898414421,-0.02259748656027738
2012-03,448394.8552806223,182891.785135592,295633.8770172191,412644.217101871,502129.5379865814,733580.459884089,-0.0016047875043408988,-0.014694375716205466,-0.008252943337672236,0.029473211364077878,0.002209749494120672,0.008044421398807122,-0.03503621504621335,-0.06409363886948938,-0.0663879179946214,0.00915100606125252,-0.04564655299967468,-0.032121422158705504
2012-04,449806.5381205511,186991.3393057485,296927.0827660202,407887.572609056,507774.1931564782,730781.315097017,0.003148302937252323,0.022415190311129374,0.0043743489814118686,-0.011527229258711857,0.011241432225896464,-0.003815729753099295,-0.021067065668831653,-0.04386399868622348,-0.05733631231448788,0.001261384095371243,-0.026844845496987846,-0.012890636069298522
2012-05,446552.2667554108,183924.8203977533,294194.7930872533,413384.1036811344,506574.5822267855,722924.3562004844,-0.007234824506414994,-0.016399256347274682,-0.009201887727162905,0.013475603183788598,-0.0023624889682470895,-0.010751450172873489,-0.037665301265563556,-0.06919357778585977,-0.05902996080334244,0.01585563557914349,-0.032111548952278746,-0.04490467804317688
2012-06,444254.985326031,181387.829854407,294411.5398104092,414880.0316326912,516736.2075020302,735670.1735625943,-0.005144484980608377,-0.01379362795004957,0.0007367456129367955,0.003618736033233372,0.020059485082288386,0.017630914289703536,-0.04408642437330368,-0.08513360415709448,-0.06089677863455334,0.016610022087103715,0.013181389051241554,-0.012985920391271888
2012-07,437118.2480267914,175954.1069366778,293224.9823910001,413030.490997475,513983.0123411523,727250.0109792829,-0.01606450694976913,-0.02995638087787167,-0.00403026803967399,-0.00445801314644545,-0.005328047698045402,-0.01144556743755909,-0.05902257455265025,-0.08220120510155782,-0.057222399218258224,-0.01273191181325517,0.001503129351057897,-0.018151441994339046
2012-08,433587.4093837733,176155.9371400368,289993.3774421309,415157.3978608592,498205.7356692644,739743.3684784458,-0.008077536590972212,0.0011470616223334673,-0.01102090593549776,0.005149515374149871,-0.030696105305161092,0.01717890314273074,-0.0630950782605928,-0.06991224011023212,-0.059590775223671955,-0.004540564655929891,-0.04514381836553272,0.015688248967783647
2012-09,438816.040660651,183100.8691079096,292020.2845447208,416107.0267591461,520840.7445124583,738767.7145184361,0.01205900163085638,0.03942491000091497,0.006989494451453027,0.0022873948607924355,0.04543305550825738,-0.0013189086939927597,-0.039311630291759325,-0.027603449498710186,-0.03844532855669325,0.006610603546528759,0.005104242155267169,-0.009781944680306243
2012-10,435528.7172890165,181171.4741377066,291293.216520189,412967.3595454844,508441.4283333732,752637.8884823258,-0.007491347323323239,-0.010537333763642076,-0.0024897860286154927,-0.007545335723155189,-0.02380634831226891,0.01877474298255022,-0.02340491168577663,-0.029599244232420885,-0.026641793946934555,0.009816023859070544,-0.005125149229204928,0.004112995137619979
2012-11,434314.8989136237,185021.8157169873,289785.0320242165,409023.4791273904,510104.4796054846,748817.5260306366,-0.002786999633338394,0.021252471436833842,-0.005177547606461386,-0.009550102028486385,0.0032708807336230272,-0.0050759635013762905,-0.02578005823951135,0.017072326767125556,-0.032914037489886305,0.00397475307203643,0.009179252807154814,0.002476344539519504
2012-12,437171.0404485482,187257.5268381311,291263.0573153315,411938.0968683751,518542.6678807349,759272.6183247913,0.00657619976212831,0.012083500059061114,0.005100419717300797,0.007125795680978264,0.016542078363586343,0.013962136209038079,-0.026839024486816743,0.015925731675583643,-0.028960747515934582,0.022100877485804693,-0.0018943143063457901,0.01898645176246405
2013-01,436997.9992563042,183735.1423928429,286596.48046057,411265.3301388854,521335.2967994197,772586.9430713907,-0.0003958203454339504,-0.01881037576840905,-0.016021863183662388,-0.0016331743400384013,0.0053855335185784,0.017535631373057026,-0.02290761425297627,0.028147125566486464,-0.03198159102538767,0.014765490440634244,0.02336777457788486,0.06891173533669659
2013-02,435873.5618244549,182604.3204719699,282102.9658003153,401220.591926725,534501.8708582108,771422.4765318173,-0.0025730951486342413,-0.006154630552141271,-0.015678889890878844,-0.02442398489745845,0.025255481720925843,-0.0015072304159634564,-0.029484677948371507,-0.01624305407614235,-0.05364436298387876,0.0009733182186622003,0.06682229498966774,0.060044762005276864
2013-03,430514.3189594554,166639.1611328879,280759.6413495812,404674.6490782559,536896.3341453134,772533.0194912067,-0.012295407050079143,-0.0874303482952512,-0.004761823212043104,0.008608873076389134,0.004479803378906633,0.0014396040991471182,-0.0398767651113584,-0.08886470210050579,-0.05031302845841157,-0.01931341260417463,0.06923869943628191,0.05309923278664286
2013-04,435322.3278055116,173307.0555596405,280390.0369719599,417490.961604689,541362.6191989013,775323.5473878387,0.011168057911934426,0.04001397019416819,-0.0013164441151320982,0.031670658282215935,0.008318710278955255,0.003612179448937658,-0.03220097772602326,-0.0731813772601142,-0.055693962436870526,0.023544205905085214,0.06614835195468927,0.06095152047628427
2013-05,433180.3709195047,178135.8914199082,283046.7433905319,410014.8072082879,526579.8086461552,780365.3731418309,-0.0049203928886547565,0.027862892509912696,0.00947503858290677,-0.017907344311516193,-0.027306670295450974,0.006502866797969409,-0.029944749655095304,-0.03147443050549692,-0.03789342965500764,-0.008150522583822983,0.03949117685974546,0.0794564693369062
2013-06,430640.1283748338,176847.3635077372,280918.337278067,405062.4540644073,519938.9694595225,788353.6935108087,-0.005864168173822848,-0.007233398625623666,-0.007519627631003112,-0.012078473891223962,-0.012611268183082003,0.01023664125025947,-0.030646492219340016,-0.025031813602457542,-0.04583109256189932,-0.02366365411622351,0.006198059882381646,0.07161296167967013
2013-07,432908.9343340762,165807.4351015383,283027.850421957,416533.5731029075,534097.5067558031,793146.6857321953,0.005268449941728592,-0.06242631039119717,0.00750934653938895,0.028319383649110685,0.027231152361975264,0.006079748545404495,-0.009629691077223557,-0.05766658142734371,-0.03477579531557706,0.008481412829770774,0.039134551009829766,0.09061075800353557
2013-08,435810.8883951622,169484.461060923,290684.0878073181,419397.2116828584,543843.4729123943,787083.3497925877,0.006703382237998712,0.022176484167509836,0.027051180206989045,0.006874928612881304,0.01824754100761461,-0.00764465898765021,0.005128098656160152,-0.037872558753499486,0.0023818142720346547,0.01021254551609907,0.09160419877908965,0.06399514119540406
2013-09,437552.060831814,169736.0630337064,290690.048782602,417999.7946777278,547304.2520675866,790825.1330077106,0.003995247670528723,0.0014845135135601595,2.0506713418244615e-05,-0.003331965416563887,0.006363557397607744,0.004753985986501785,-0.0028804321440346614,-0.07299149446596409,-0.004555285480228544,0.004548752596954531,0.05080921151800433,0.07046520505191256
2013-10,438339.0446114413,166581.0547453582,288793.099533494,421940.1017851844,549272.8366395743,800306.6634840339,0.0017986060404588944,-0.018587731045238476,-0.006525676599706043,0.009426576657757701,0.0035968742514804752,0.01198941470191106,0.006452679722058097,-0.08053375655186401,-0.00858281911457337,0.021727485314034123,0.08030700495835452,0.06333560365640234
2013-11,441057.3976443221,168796.1167268896,290868.6905066729,428705.2788687819,546393.2267391253,807270.7722535009,0.006201485052033995,0.013297202283401255,0.00718712107918007,0.016033501094052882,-0.0052425856666538095,0.008701800306334606,0.015524447233018712,-0.08769613965369805,0.0037395253815795115,0.048118997431102484,0.07113983229809406,0.07806073467953634
2013-12,439756.8370108476,173888.6635225175,286114.3909423493,421165.4612434901,535901.1749190701,826477.6129442117,-0.0029487332950784984,0.030169810149528464,-0.016345174711110966,-0.01758741493733651,-0.01920238265520202,0.02379231523159797,0.005914839554894247,-0.07139292898581262,-0.01767703196017778,0.022399881062866056,0.03347556163368148,0.08851233798961045
2014-01,447470.4345337577,180317.4792732639,292256.0049080356,429272.0756256239,544435.376551058,832040.521314598,0.017540597152148063,0.036970873319259745,0.021465589149354702,0.01924805124854978,0.015924954135950076,0.006730863949925059,0.02396449250402921,-0.018601031218468456,0.019747361999598034,0.04378376723527255,0.04430944901190137,0.07695389985087209
2014-02,445236.8895070575,170449.7763742752,291420.4795534786,430720.8171702419,559455.7902554059,837023.6568607516,-0.004991491849126173,-0.05472405081725085,-0.0028588817356206553,0.003374879538825315,0.027588974470212912,0.005989053920451237,0.021481751825942474,-0.0665621934151357,0.03302876921811104,0.07352619939533045,0.046686308800244936,0.08503923897040933
2014-03,447119.1038393304,174421.4094419493,288604.7775279789,434316.8970772165,568070.5359645374,837057.6075984788,0.004227444707820105,0.023300899256993635,-0.009661990913658491,0.008348980972408437,0.015398438731322406,4.0561264247340745e-05,0.03856964599925128,0.046701197102494874,0.027942535261431978,0.07324957979571467,0.058063726340859434,0.08352340479863019
2014-04,444165.1350335914,173702.326907868,287290.8914890082,432232.4857746772,559532.5762573844,826142.6780091798,-0.00660667097507972,-0.004122673566174906,-0.004552544314146978,-0.004799286688053295,-0.015029752762403481,-0.013039639673802172,0.02031324070294538,0.0022807573930045955,0.0246116252616293,0.035309804344810125,0.03356337584846658,0.06554570771461421
2014-05,446212.6060154952,172700.085036855,292477.1177777997,429646.1076475314,557691.0345085993,831511.4452468477,0.0046097066618002724,-0.005769881663960752,0.018052177922911694,-0.00598376617275842,-0.0032912145367886003,0.006498595679145236,0.030085008395757118,-0.030514941934075224,0.0333173746297315,0.04787949140888159,0.059081691609922604,0.06554118604609216
2014-06,448144.4674540737,170024.2881789461,292663.5541995227,426274.606308203,563688.1602107723,849135.0437121104,0.004329464054880328,-0.015493894269582253,0.0006374393427408531,-0.007847159043959606,0.010753491325994347,0.021194655306314925,0.040647254925588294,-0.03858171924905507,0.041810075608662345,0.052367609071027,0.08414293469236811,0.07709908725184178
2014-07,450985.1621794598,173151.6389251332,295451.7375153121,429769.8990987347,566951.1243387255,851930.435831483,0.006338792357572176,0.018393552942833846,0.009526923580954527,0.008199627045117897,0.00578859794878972,0.0032920465832526613,0.04175526631990034,0.044293573560783894,0.043896341207527056,0.031777332850327245,0.06151239645824358,0.0741146009391962
2014-08,448732.0298297433,162321.0840290641,294591.452057632,435645.9140001522,565252.715108809,879990.78959043,-0.004996023236835234,-0.06254953729171442,-0.0029117630680223217,0.013672467322025206,-0.002995688970363175,0.03293737678424424,0.029648505300457595,-0.04226568611079895,0.013441961270697078,0.03874299080839094,0.039366551706070396,0.1180401539714
2014-09,447119.3928194869,167872.8053271114,293603.6272177955,432862.3582672438,559934.0842075289,866784.9154363382,-0.0035937639906566954,0.03420209599544832,-0.0033532026572284934,-0.00638949119790766,-0.009409297397636185,-0.015006832242230761,0.02186558547909656,-0.010977382609758002,0.010022972741569491,0.03555638968907826,0.02307643708637319,0.09605130041799903
2014-10,450904.3912899617,169336.2502254531,296749.5466733033,432537.1184297441,572305.5647419185,868593.1955656025,0.008465297035333164,0.008717581716050526,0.010714852147157394,-0.0007513701094307157,0.022094530201530516,0.002086192430280187,0.02866581663894152,0.01653966883753144,0.027550683006837273,0.02511497864205081,0.0419331278845998,0.08532545734942643
2014-11,447902.4390046048,170617.5240409572,295284.2409781943,441522.2710578465,570563.259141564,852098.286892719,-0.00665762486093513,0.007566447312954194,-0.004937853188103358,0.02077313655928892,-0.003044362500896125,-0.018990372889281626,0.015519615807017217,0.010790575929034096,0.015180562967536337,0.02989697776263589,0.044235600332539704,0.055529713424507854
2014-12,453978.7239361224,173368.7764551672,295266.860944895,447269.1787482705,569906.4546584919,870844.5021263552,0.01356609029640743,0.016125262804479235,-5.885865511034982e-05,0.013016121874565911,-0.001151151029353592,0.022000062107854435,0.032340342953949275,-0.00298976975737697,0.03198884883909914,0.06197972034009913,0.06345438549291704,0.05368190074029067
2015-01,453864.3716216485,173918.8018757954,301681.6982170892,454859.5509661531,580026.3851045917,846731.2857446603,-0.00025188914908258475,0.003172574853872012,0.02172555786201613,0.016970479028143748,0.01775717815332345,-0.027689462725913994,0.014289071622246796,-0.03548561916047832,0.03225149578028197,0.05960666158691508,0.06537232899705936,0.017656308862038728
2015-02,460289.2911384103,180521.2974193588,302053.5780469562,452269.146440312,568690.50858686,841576.7541742928,0.014156034089668035,0.03796309238766815,0.0012326893943677142,-0.005694954674116293,-0.019543725611185003,-0.006087564800247525,0.033807624628808375,0.05908790999507363,0.036487135392028414,0.05002852987612427,0.016506609623681223,0.005439627991659757
2015-03,455186.4630432069,176026.7218310733,299357.298814469,448452.3483742294,570231.9253269908,853808.8188069998,-0.011086132554991246,-0.024897758062553788,-0.008926493272885638,-0.008439218319718611,0.002710466794954902,0.014534698792516565,0.01804297587511594,0.009203643029029873,0.037256906758751596,0.03254639962695216,0.0038047904716331793,0.020012017161614937
2015-04,452562.3433049675,174362.7400011372,298636.9365355789,445644.2079040674,582969.3052205783,857420.5648962333,-0.005764933606978384,-0.009453006978866307,-0.0024063628371278067,-0.00626184806555774,0.022337191812407786,0.004230157864005157,0.018905599762442105,0.0038019818446040077,0.03949322927630927,0.03102895448812193,0.041886263566561555,0.03786015142375443
2015-05,457954.2287380049,178120.4341746874,304649.7429674988,446564.8762774249,596563.7361414962,843782.7176794418,0.011914127440788791,0.021551015850781452,0.02013416860510664,0.0020659269368439315,0.02331929108304287,-0.015905668437567688,0.026313964608391194,0.031385908910674054,0.041619068466569153,0.03937838218186118,0.06970293447006726,0.014757791372253637
2015-06,457762.3460130845,175384.394421382,307539.6421294614,447818.5615411747,596544.4596641352,863056.8438032779,-0.00041899978836135165,-0.01536061691059043,0.009485972756165806,0.0028073978280616085,-3.231251950652769e-05,0.02284252298606404,0.021461558174867834,0.0315255326156374,0.05082999818896794,0.050540085930887324,0.05828807800589142,0.01639527209983771
2015-07,466804.0007224695,196394.2096407666,306116.2909358261,456468.4370895416,603746.7163716787,902860.3269528798,0.019751853310203238,0.11979295699995984,-0.004628187715182919,0.019315580664182708,0.012073294103843502,0.04611919068296566,0.03507618402912094,0.1342324615574848,0.03609575462375236,0.062122866321713266,0.0649008185244726,0.05978174857867269
2015-08,465138.8535038649,183981.8773549999,312489.5830353858,452360.8635971211,597040.328599786,902709.1041345063,-0.003567122852476512,-0.06320111121641858,0.020819839676209373,-0.008998592583115972,-0.011107949062142963,-0.00016749303724961084,0.036562631110479415,0.13344411451846483,0.06075577160416845,0.03836820009050523,0.0562361093389141,0.02581653673290152
2015-09,469641.5398365913,197846.4979353068,313314.0907800737,450594.8696932571,608220.3249653702,915170.2835019706,0.009680305781398113,0.07535862107524105,0.0026385127359414007,-0.0039039493598562736,0.018725697126363627,0.013804202605679716,0.05037166219761158,0.17855001916355473,0.06713290210020784,0.04096570442622194,0.08623558043654467,0.05582165448884768
2015-10,472157.150452628,183891.3863846894,316071.3005613222,469465.5282998879,606174.2718550459,921918.1234104678,0.005356448275235515,-0.07053504457370052,0.008800146122964758,0.04187943511091685,-0.0033639998966505935,0.007373316234303484,0.0471336264920057,0.08595404787727179,0.06511131728632602,0.08537627939124959,0.059179412537078147,0.06139229286748171
2015-11,471816.4612248354,182698.0668670778,309921.4236581185,459636.9934850893,615784.490706907,932207.8164504525,-0.0007215589713424064,-0.006489262716825817,-0.0194572455401103,-0.020935583599484886,0.01585388773174312,0.011161178827811646,0.05339114087741037,0.07080481852040377,0.049569806473367395,0.0410278792592762,0.07925717410087052,0.09401442391095838
2015-12,471336.0943279242,178735.78543305,312589.8572974915,450127.517289412,610418.466009084,939122.7013297464,-0.0010181223767907754,-0.02168759364547934,0.008610032852445215,-0.020689101030737178,-0.00871412771644009,0.007417750374185239,0.038233885150626756,0.03095718322307439,0.0586689488185721,0.006390645000714956,0.0710853702733869,0.0784045820312067
2016-01,464101.6565967546,177241.4712598301,307553.9143784949,452076.5103736472,621801.0796054505,934473.6207978479,-0.015348787878180947,-0.008360464411753976,-0.016110384906711572,0.004329868780233115,0.018647230105579782,-0.004950450591084343,0.022555824195956475,0.019104716386026954,0.01946494002158561,-0.006118461372514927,0.07202205895051805,0.10362477037330953
2016-02,471736.7508832422,179240.0676355349,309404.0304537629,452890.7843857489,635138.3113549169,940853.2615945206,0.01645134030004436,0.01127612156172475,0.00601558292310056,0.001801186289083434,0.021449354442950153,0.0068269886433240945,0.024870141376783783,-0.007097388519469505,0.02433492910209467,0.0013744867416440876,0.11684352343627658,0.1179648878463051
2016-03,468098.5036003285,177680.8929326912,312171.2572643536,448825.3311414916,631996.3061846745,932984.4728483565,-0.0077124524983513965,-0.008698806708855478,0.008943732266617044,-0.00897667469602248,-0.004946962124737331,-0.008363460134929501,0.028366486276407477,0.00939727266639312,0.042804897360549266,0.0008317110359983282,0.10831449119981462,0.0927322982585097
2016-04,470859.8708258127,176063.7914378318,318727.4624494277,450408.6928920065,624897.8242665796,945569.6435747554,0.005899115686645917,-0.009101155831493957,0.0210019501555907,0.0035277905248527475,-0.011231840832975792,0.013489153456088143,0.040430954522689966,0.00975581960161609,0.06727408252614198,0.010691230590311518,0.0719223442306911,0.10280728301541275
2016-05,474193.979892499,176671.2124784541,316826.6452975082,456561.2213568331,626588.1894025026,959578.7375750312,0.007080894493809442,0.0034500054534880586,-0.005963769602128521,0.013659879487054605,0.002705026438373226,0.014815507345724344,0.0354615158795375,-0.00813619000508381,0.039970171027876145,0.02238497833223696,0.050328994945621375,0.1372344058124939
2016-06,471206.4823094781,177732.7443013766,313091.7548870801,457006.2694121349,623700.9446882078,933581.2634402718,-0.006300159237993985,0.006008516090599381,-0.01178843530322693,0.0009747828647801438,-0.004607882438780075,-0.027092590859670418,0.029369248942133996,0.013389731097468216,0.018053323855015346,0.020516585644285268,0.045522985896746304,0.08171468674787419
2016-07,470694.5575511081,187012.6897339392,316816.4648454771,451121.7662798777,618485.1681886131,950094.1661690449,-0.0010864128096474968,0.052212919285299586,0.01189654438437815,-0.012876197825090419,-0.008362624017191567,0.017687697231543176,0.008334454766063093,-0.0477688213109112,0.03495460459467736,-0.011713122694209543,0.02441164716473776,0.052315776655706525
2016-08,472139.3855070162,184394.396306189,317720.1083351737,452850.8809555464,625893.5149039513,959241.0389589615,0.0030695658845623086,-0.014000619056788066,0.002852261766563613,0.0038329222948554342,0.011978212407316668,0.009627332864065918,0.015050413334462887,0.002242171659076808,0.01673823891657711,0.0010832443693928884,0.0483270307247643,0.06262475316304306
2016-09,473655.8578548829,185772.3536600049,316283.5711270422,463191.4041276798,627124.173419103,952755.2131681427,0.0032119166382151842,0.007472880854404007,-0.004521392163872928,0.0228342785826412,0.001966242636881388,-0.006761414000653776,0.008547621276619566,-0.061027839265823,0.00947764698221909,0.027955343661586474,0.03108059313014433,0.0410687828743197
2016-10,482536.3188642329,184429.8185500742,318920.6013358549,473363.1141859284,645859.8120743858,953310.1567613576,0.01874876212777843,-0.007226775585713718,0.008337550380552283,0.021960057910411335,0.0298754847116407,0.0005824618806016257,0.021982444619667474,0.0029279901357557314,0.009014740564779355,0.008302176946101136,0.06546886277091923,0.03405078233494385
2016-11,481950.0554207925,179471.766280155,319763.965471228,481384.1648609106,658420.7487237253,964223.0454869926,-0.0012149623158321798,-0.02688313803536635,0.0026444329147772283,0.01694481558576122,0.01944839485986294,0.011447364373740498,0.02147783095496547,-0.017659193894318137,0.03175818469383063,0.047313796939903785,0.06923892800202358,0.03434344624833097
2016-12,484724.0636399893,190082.7089618759,317617.2995247327,482001.7292894642,645537.3278672142,970387.9217967774,0.0057558001871684805,0.05912318634652136,-0.006713282853281544,0.0012828931103954222,-0.019567155016733895,0.006393620582539672,0.02840429467035599,0.06348434087406729,0.016083190512661272,0.07081151623876059,0.05753243686701892,0.03329194409075753
2017-01,493385.6923495459,192637.5375374371,318496.9700679711,496848.6816939748,643184.537881007,970278.7718247328,0.017869194783755704,0.013440615348519813,0.002769592665622156,0.03080269530650237,-0.003644700135282064,-0.00011248076113989924,0.06309832196577436,0.086864920315612,0.03558093452196798,0.09903671235500111,0.03438954832488372,0.03831584993947157
2017-02,487990.4569598255,186131.5393269136,317936.3067235844,482975.2919791617,642210.5021426338,988439.0555238653,-0.010935127372720954,-0.03377326295639105,-0.001760341218527195,-0.02792276647995262,-0.0015143954510818958,0.01871656293683488,0.03445503460595578,0.03844827656164318,0.027576487149531648,0.06642773187406781,0.011134883003089513,0.050577274769392
2017-03,483538.6848242691,188521.3535381283,321115.9910541163,484091.5907283891,644141.2694390744,993427.3549624651,-0.009122662281739857,0.012839383480396371,0.010001010464326443,0.0023112957697131176,0.0030064399289624344,0.005046643402770057,0.03298489763411783,0.061010840425839596,0.028653290723008595,0.07857457487349317,0.01921682632564492,0.06478444590785037
2017-04,486826.4291523648,190671.4528317942,324640.9001113477,477500.1802866287,651760.9758510236,983723.6655085059,0.006799340841344481,0.011405070318631028,0.010977058618788726,-0.013616039956080628,0.011829247361505812,-0.009767890329863027,0.033909363094691614,0.08296800423680728,0.01855327312078825,0.06014867790555245,0.042988070275284285,0.04035030332563139
2017-05,491799.1655171728,187013.8651854602,328785.0097820039,473911.013721145,651710.4860693509,1001696.617693604,0.010214598195636748,-0.01918267046279143,0.01276521125106167,-0.00751657635674452,-7.746671485941992e-05,0.018270326124366854,0.03712654814526517,0.05854181086954058,0.03774418806621038,0.03800102057014576,0.04009379220952791,0.04389205228224369
2017-06,494393.142468538,184925.7542988468,327497.975996376,480943.446313523,660743.265258022,981187.0597319744,0.005274463913816252,-0.011165540504403992,-0.003914514796405144,0.014839141502872799,0.013860110251026292,-0.020474820019710793,0.0492070059083598,0.040470933061570236,0.04601277703557427,0.052378224334163725,0.05939115674793771,0.050992664651681174
